date,C_NA,C_SA,C_SO,C_PO,C_IO
1997-10-01,14.227981625134953,15.723055557117734,14.64905552234144,18.33864742513759,16.73880410601536
1997-11-01,14.228729038319234,15.722695465793969,14.653595330000279,18.33863714958406,16.73903272261327
1997-12-01,14.2295008362939,15.722326002608842,14.65827659868238,18.33862654055409,16.739268933545087
1998-01-01,14.230272106873247,15.721959164073294,14.662948023802866,18.33861594047228,16.739505118255714
1998-02-01,14.230993136657256,15.7216183886873,14.667309078176112,18.338606032433955,16.73972604119627
1998-03-01,14.23173853292133,15.721268334808924,14.671811235127038,18.338595791282437,16.739954557316164
1998-04-01,14.232508263900128,15.720909160853454,14.676453895903254,18.33858521767742,16.7401906650575
1998-05-01,14.233252659499481,15.720564088473989,14.68093734948434,18.33857499388551,16.740419131040966
1998-06-01,14.233996561906508,15.720221471000286,14.685411585328072,18.33856477848713,16.740647572251568
1998-07-01,14.2347399724653,15.71988130235986,14.689876622886041,18.338554571479136,16.74087598879616
1998-08-01,14.235507645311863,15.719532374808159,14.694480800056294,18.338544033148793,16.741111993164626
1998-09-01,14.236274801590895,15.719186020649648,14.69907530350082,18.33853350376444,16.741347971478433
1998-10-01,14.237016712565278,15.718853323079466,14.703512256260993,18.338523322711353,16.741576312338818
1998-11-01,14.237758137672813,15.718523048901385,14.707940091155953,18.33851315018723,16.741804628488627
1998-12-01,14.238523765280807,15.71818431877945,14.71250591036688,18.338502647611435,16.742040529104212
1999-01-01,14.239288882760906,15.717848135296332,14.717062140637994,18.33849215406806,16.742276403629894
1999-02-01,14.2400041723732,15.717535965659117,14.721315663538142,18.338482345844433,16.74249703667674
1999-03-01,14.240743647045123,15.717215430035763,14.725706819651187,18.338472208095194,16.742725253275978
1999-04-01,14.24150727604246,15.716886682304088,14.730235026252073,18.338461741389665,16.74296105187551
1999-05-01,14.24224578347106,15.716570979452113,14.734607960673861,18.33845162111921,16.743189219179033
1999-06-01,14.242983814262754,15.716257657956572,14.738971914601166,18.338441509380512,16.743417362073092
1999-07-01,14.24374594383978,15.715936401842656,14.74347186920575,18.3384310694865,16.743653083910605
1999-08-01,14.244507572493067,15.715617648957855,14.747962380421887,18.338420638468584,16.743888779905088
1999-09-01,14.245244149117719,15.71531159457181,14.752298917746089,18.338410552594684,16.744116847725067
1999-10-01,14.246004780450194,15.714997828236363,14.75677060476633,18.33840013956061,16.74435249178503
1999-11-01,14.246764915572975,15.714686545156454,14.761232910944814,18.33838973559106,16.744588109813648
1999-12-01,14.247500051503748,15.714387700452967,14.765542213724494,18.338379675971165,16.744816102081483
2000-01-01,14.248259198765343,15.714081364689324,14.769985821001805,18.338369290081726,16.745051668008575
2000-02-01,14.248993391876715,15.713787243440379,14.774277263394987,18.33835924786818,16.745279610385612
2000-03-01,14.249727110452282,15.713495500683232,14.778559705880994,18.338349214528016,16.745507527743808
2000-04-01,14.25046037631597,15.713206027379835,14.78283355784467,18.338339189693336,16.74573542128055
2000-05-01,14.25119316996037,15.712918921233138,14.787098448907438,18.338329173634488,16.745963289920827
2000-06-01,14.251949913807413,15.712624632140532,14.791496465482908,18.338318832462985,16.746198728970207
2000-07-01,14.252681776878381,15.712342191773427,14.795743689832573,18.338308833530565,16.7464265482331
2000-08-01,14.253437551415368,15.7120527646487,14.80012329134008,18.338298510171587,16.74666193564742
2000-09-01,14.254192843214627,15.711765759357174,14.80449371619114,18.338288195708273,16.74689729718436
2000-10-01,14.254923305072607,15.711490349730173,14.808714298331667,18.338278222651475,16.747125041343146
2000-11-01,14.255653312908827,15.711217220508143,14.81292623086424,18.338268258152045,16.747352760927747
2000-12-01,14.256407176369406,15.710937389385439,14.817269445004355,18.338257970532847,16.747588045177938
2001-01-01,14.257160563246186,15.710659954557515,14.821603563406759,18.338247691936182,16.747823303354078
2001-02-01,14.257864909527727,15.710402606248609,14.825649754857778,18.33823808477049,16.748043359766505
2001-03-01,14.258568831642153,15.710147391499886,14.82968784091822,18.338228485743468,16.748263393130696
2001-04-01,14.259296589266373,15.709885577912301,14.833856803702092,18.338218564196882,16.748490990060386
2001-05-01,14.260048133691889,15.709617410235042,14.838155712659843,18.33820832097711,16.748726147833626
2001-06-01,14.260799207463442,15.709351609967038,14.842445622785133,18.338198086687342,16.74896127989636
2001-07-01,14.261525598855913,15.709096669169767,14.84658845976288,18.338188191137473,16.749188802124102
2001-08-01,14.262275735132787,15.708835586096908,14.850860433335043,18.33817797451469,16.749423882684887
2001-09-01,14.263025404626907,15.708576852569985,14.855123468431048,18.338167766743915,16.749658937476266
2001-10-01,14.263750441061733,15.708328732667841,14.859240355070146,18.338157896949777,16.74988638481795
2001-11-01,14.264475038476935,15.708082825022746,14.863348816788312,18.33814803568621,16.750113807638474
2001-12-01,14.265223326785325,15.707831051276942,14.867585347860643,18.338137854694406,16.750348785306333
2002-01-01,14.265971154196212,15.707581602164453,14.871813019143808,18.338127682729226,16.750583737006185
2002-02-01,14.266670314085372,15.707350368459737,14.875759846160156,18.33811817535841,16.750803506852503
2002-03-01,14.267393149122169,15.707113350597814,14.87983441796242,18.338108348809627,16.751030830614415
2002-04-01,14.268139631694433,15.706870688587806,14.884036195672602,18.338098203766567,16.751265706701588
2002-05-01,14.268861592906,15.706638081616445,14.888093930828433,18.338088394795342,16.7514929812746
2002-06-01,14.269583123248633,15.706407648748009,14.892143369005526,18.33807859422772,16.751720231479705
2002-07-01,14.270328250773257,15.706171825541098,14.896319043813344,18.33806847577626,16.75195503103461
2002-08-01,14.271072925848166,15.705938287273,14.900485993640412,18.33805836605167,16.752189804962306
2002-09-01,14.271793142548747,15.705714487854232,14.904510100657886,18.33804859097492,16.752416980679193
2002-10-01,14.272536916830294,15.705485500861469,14.908659657750576,18.338038499021756,16.752651703161106
2002-11-01,14.273280242979402,15.705258780156433,14.91280054747926,18.338028416063878,16.752886399760587
2002-12-01,14.27399915859298,15.705041560380634,14.916799491061521,18.338018667085887,16.753113500385076
2003-01-01,14.274741592823844,15.704819354129038,14.920923103867244,18.338008602184775,16.753348145110575
2003-02-01,14.275459657182441,15.704606444495607,14.924905545045645,18.337998870559684,16.753575196170814
2003-03-01,14.2761533806833,15.704402684484462,14.92874737440052,18.337989471684793,16.753794655278213
2003-04-01,14.276870616621913,15.704193969511774,14.932713743425442,18.337979757152045,16.754021658151007
2003-05-01,14.277611319518268,15.703980529831682,14.936803769264769,18.3379697277921,16.754256202117862
2003-06-01,14.278351582609407,15.703769317150622,14.940885258651688,18.337959707360632,16.75449072045261
2003-07-01,14.279067541789033,15.703567067430074,14.944826844186254,18.337950018818987,16.754717648850892
2003-08-01,14.279806928920255,15.703360291722719,14.948891317729206,18.337940016201802,16.75495211584213
2003-09-01,14.280545879955886,15.703155725905992,14.952947311518795,18.33793002248987,16.755186557200094
2003-10-01,14.281260573091748,15.702959891932467,14.95686427860792,18.337920359820483,16.755413411096885
2003-11-01,14.28197485593508,15.70276613892364,14.960773253492734,18.337910705667884,16.755640240582842
2003-12-01,14.28268872985184,15.702574461266154,14.96467425351282,18.337901060084686,16.75586704561431
2004-01-01,14.2834259690172,15.702378580692438,14.968696881503625,18.337891102054023,16.756101384988444
2004-02-01,14.28413901987999,15.702191083384186,14.972581806891613,18.337881473850906,16.756328140610027
2004-03-01,14.284851656479631,15.702005691234074,14.976458632874694,18.337871854412995,16.75655487137522
2004-04-01,14.285587629906905,15.701816242099886,14.9804565164978,18.337861923194033,16.756789134797927
2004-05-01,14.28629944988874,15.701634999192425,14.984317371722288,18.3378523210828,16.757015816560536
2004-06-01,14.287010867451707,15.701455800860167,14.988170355671318,18.337842727402688,16.75724247412758
2004-07-01,14.287745575112243,15.701272783336131,14.992143476249293,18.337832822828027,16.757476661418693
2004-08-01,14.288479860186268,15.701091914356494,14.996108319006927,18.337822927135875,16.75771082318911
2004-09-01,14.28919005072596,15.70091895379159,14.999937270558274,18.33781335928993,16.75793740659679
2004-10-01,14.289899843460853,15.700748016450872,15.00375841985212,18.33780380000798,16.758163965691175
2004-11-01,14.290609239831353,15.700579096751772,15.007571783966306,18.3377942493324,16.758390500422035
2004-12-01,14.291341865295339,15.700406672150777,15.011504055258213,18.33778438936406,16.758624560536227
2005-01-01,14.292074074501292,15.700236367949039,15.015428139868549,18.33777453841273,16.75885859487884
2005-02-01,14.292758664567957,15.700078986730013,15.0190915818873,18.33776533123052,16.75907750668935
2005-03-01,14.29346646935327,15.699918175768175,15.022873632213456,18.33775581511328,16.75930394290685
2005-04-01,14.294197463793427,15.699754062979018,15.026773792744967,18.337745990711294,16.759537901981606
2005-05-01,14.2949044792057,15.699597275654419,15.030540286059395,18.33773649201256,16.759764289300428
2005-06-01,14.295611105615206,15.699442470870066,15.034299111888767,18.337727001829585,16.75999065247878
2005-07-01,14.296340876414732,15.699284594904544,15.038175151095713,18.33771720422218,16.76022453558163
2005-08-01,14.297070238607262,15.699128802519127,15.04204312723316,18.337707415517137,16.760458393198306
2005-09-01,14.29777567879794,15.698980046705106,15.045778544351252,18.33769795120283,16.760684682319845
2005-10-01,14.298504227621713,15.698828404506388,15.049630448059181,18.337688180461946,16.76091848879407
2005-11-01,14.29923237173036,15.69867882881796,15.053474342095754,18.337678418817678,16.761152269620762
2005-12-01,14.299936636967667,15.698536072779927,15.057186505587932,18.337668980811955,16.761378484314243
2006-01-01,14.30066397551615,15.698390613900333,15.06101443373373,18.337659237261096,16.76161221387215
2006-02-01,14.30136747187497,15.698251788370237,15.064711347376607,18.33764981661195,16.76183837952044
2006-03-01,14.302047152482729,15.698119461887067,15.068277763775688,18.337640718343074,16.762056982953787
2006-04-01,14.302749901298393,15.697984460618802,15.071959824631607,18.337631314851997,16.762283100947574
2006-05-01,14.303475677198657,15.697846994439805,15.075756713761661,18.33762160702347,16.762516730868487
2006-06-01,14.304201055996433,15.697711558762952,15.079545714265047,18.337611908166892,16.76275033536592
2006-07-01,14.304902652293274,15.697582452048508,15.083204872257513,18.337602530761828,16.762976379625936
2006-08-01,14.305627240451805,15.69745106181098,15.0869781495806,18.337592849593637,16.763209933283655
2006-09-01,14.306328082217851,15.697325817317035,15.090622290231584,18.33758348912602,16.76343592884733
2006-10-01,14.307028544318326,15.697202517269224,15.09425886475472,18.337574137299892,16.76366189972194
2006-11-01,14.307751972620414,15.697077067340658,15.098009026862346,18.337564482564133,16.76389537792571
2006-12-01,14.30845168737438,15.696957597909025,15.10163068279022,18.337555148068347,16.764121299729265
2007-01-01,14.309174337492582,15.696836139109744,15.105365293907775,18.33754551144984,16.76435472662007
2007-02-01,14.309873309525058,15.696720480393129,15.108972096774322,18.33753619422638,16.76458059935874
2007-03-01,14.310548628880914,15.696610491608906,15.112451595181573,18.33752719589062,16.764798919624294
2007-04-01,14.31124687836766,15.696498540905328,15.116043931758785,18.337517895743826,16.765024744657946
2007-05-01,14.3119680182564,15.696384831696106,15.119748311483592,18.337508294686536,16.7652580718218
2007-06-01,14.312688774469173,15.696273091025667,15.123445007622012,18.337498702589535,16.76549137355817
2007-07-01,14.31338591025986,15.696166855101852,15.127015036508753,18.337489428523735,16.76571712481041
2007-08-01,14.31410590240053,15.696059036403163,15.130696416950082,18.337479854218483,16.76595037572155
2007-09-01,14.314825514149808,15.695953170879303,15.134370164588493,18.337470288862185,16.76618360124964
2007-10-01,14.31552154572746,15.695852605276981,15.137918033994767,18.33746104078636,16.76640927875936
2007-11-01,14.316217219592907,15.695753878609473,15.141458709601078,18.33745180124348,16.7666349321385
2007-12-01,14.316935705953668,15.695653798271602,15.145109825845175,18.33744226275674,16.766868081734813
2008-01-01,14.317653816822888,15.69555565004252,15.148753376712133,18.33743273332656,16.767101205776513
2008-02-01,14.318348400590827,15.69546253272142,15.152272088000194,18.337423520075014,16.767326785053505
2008-03-01,14.319042631131786,15.695371234588928,15.155783667050219,18.337414315548347,16.767552340305794
2008-04-01,14.319736509454879,15.695281750873335,15.159288128690607,18.337405119798188,16.767777871607517
2008-05-01,14.320430036251805,15.695194077512287,15.162785488751533,18.337395932695507,16.768003379016985
2008-06-01,14.321123212267747,15.695108210336091,15.166275763194026,18.33738675413236,16.768228862511222
2008-07-01,14.321839124613518,15.695021383939043,15.16987491243003,18.337377278609342,16.7684618367913
2008-08-01,14.322554668433241,15.694936455601791,15.173466610354327,18.33736781210004,16.768694785726
2008-09-01,14.323246774637473,15.69485609874718,15.176935252027432,18.337358659722955,16.768920195635097
2008-10-01,14.323961584867124,15.69477495092075,15.1805120970222,18.33734921137379,16.769153093782517
2008-11-01,14.324676030102394,15.694695685588359,15.184081540395221,18.337339772149544,16.76938596646164
2008-12-01,14.32536707669574,15.694620794094547,15.187528693718706,18.337330646204496,16.769611302461247
2009-01-01,14.326080795686295,15.694545278404494,15.191083383607662,18.337321225170488,16.7698441242061
2009-02-01,14.326771149356992,15.694473966498808,15.194516444887284,18.33731211668067,16.770069411545204
2009-03-01,14.327438161454754,15.694406736134017,15.197828355660041,18.33730332018529,16.77028716615796
2009-04-01,14.328127841351067,15.69433890705736,15.201247692333313,18.337294228869904,16.770512406173946
2009-05-01,14.328840152120556,15.694270670126832,15.204773700736993,18.33728484365432,16.770745128946576
