date,S_NA,S_SA,S_SO,S_PO,S_IO
2005-05-01,34.96768311896994,35.361254814702775,34.45586556747442,34.67422667691549,34.58703431745582
2005-06-01,34.96768992810407,35.36112498790656,34.45605533440041,34.67429071863829,34.58745388737774
2005-07-01,34.96775085652984,35.36100767504189,34.456279544370744,34.674350768966654,34.587922049053674
2005-08-01,34.96783697476639,35.3608815955962,34.45648697638678,34.67437974873407,34.58840330903666
2005-09-01,34.967955116252504,35.36064925904603,34.45672255095583,34.67444719341119,34.588751532805276
2005-10-01,34.967999495758356,35.360290741661615,34.45694899882918,34.6746173044482,34.58899675207773
2005-11-01,34.968291959224736,35.359921077477324,34.457183254265175,34.674720008185965,34.58922361924566
2005-12-01,34.96871801880539,35.3596387653995,34.45739962762721,34.67483345065966,34.589450637976526
2006-01-01,34.96914149618762,35.35934796687592,34.45761849108548,34.6749762863993,34.58968719137153
2006-02-01,34.96961563017695,35.35904985403193,34.45774599822273,34.67508548983632,34.589860099629426
2006-03-01,34.97018881011052,35.358794470549384,34.457740944225264,34.675214371010945,34.59006994105123
2006-04-01,34.970660796427865,35.358559787081816,34.45770187988891,34.675346334051476,34.590423411145075
2006-05-01,34.97089141610667,35.3584584266786,34.45775965324985,34.67544651143427,34.59081531788859
2006-06-01,34.97099491910221,35.35843345941487,34.45793194427356,34.675526104755996,34.5912283629182
2006-07-01,34.97118465414997,35.358346152272475,34.45814330267448,34.67549629537173,34.591738831050904
2006-08-01,34.9713677827985,35.35822408057968,34.45838445629176,34.67547280262966,34.59224023705621
2006-09-01,34.97151153629912,35.358032080137306,34.458611847529106,34.67549505813428,34.5926281918428
2006-10-01,34.9716830805385,35.35774513536395,34.4588429748997,34.67551336363179,34.592931028986584
2006-11-01,34.97199106212341,35.3574060022004,34.4590881428138,34.675654097005186,34.593083357447505
2006-12-01,34.972488459640665,35.35707393433939,34.45931729857218,34.67577699796046,34.59315684901474
2007-01-01,34.973032274839,35.35675347882909,34.459524073867506,34.675812814130765,34.59329775298015
2007-02-01,34.973507552390224,35.35648871522226,34.459672623388045,34.675896332044054,34.59334969509776
2007-03-01,34.97394551352477,35.356220961549255,34.459741650458184,34.676002230607274,34.593536332669245
2007-04-01,34.97420970599628,35.35594886637253,34.45977414476313,34.67613341303449,34.59381361100555
2007-05-01,34.97432340323517,35.35579083319621,34.45990854090618,34.676222108049124,34.59418935031885
2007-06-01,34.97449955588239,35.35575374797543,34.46010588657847,34.676309386441254,34.594514397330734
2007-07-01,34.97469896503794,35.355723472659655,34.460325871302516,34.676359618048444,34.59493789894225
2007-08-01,34.9748165148636,35.35571381777692,34.46056487876648,34.67648582594652,34.59543664416238
2007-09-01,34.974970794368964,35.355590833802005,34.460814452138415,34.67661864775649,34.59589110376003
2007-10-01,34.975153208030484,35.35536490373549,34.46105235646562,34.67675052010329,34.596221777242995
2007-11-01,34.97547227378187,35.355098576814136,34.46129142292989,34.67683093814663,34.59646002969824
2007-12-01,34.975886736999,35.35484816785474,34.46152273556546,34.67700175904388,34.59655980311326
2008-01-01,34.97640415775888,35.35461349418875,34.46172539432101,34.677109612864506,34.5967657259792
2008-02-01,34.97692618501025,35.3543123987486,34.461799838737605,34.677223263718815,34.59694212655856
2008-03-01,34.97753141319912,35.3539903219036,34.46180894914453,34.6774321208215,34.59716080034813
2008-04-01,34.97799526900361,35.35367664501589,34.461835423346294,34.67760517100244,34.597511165723155
2008-05-01,34.97822509203283,35.3535000931768,34.46194783200961,34.67770359097201,34.59800979351815
2008-06-01,34.97845662752078,35.35342132116323,34.462146668245666,34.677855358357405,34.59848476275806
2008-07-01,34.978691565019574,35.35341188651479,34.46238206118034,34.678042818806915,34.59893643839447
2008-08-01,34.978848543625936,35.35333313560025,34.4626193646644,34.67826390225066,34.59937746815036
2008-09-01,34.97896632944746,35.353136632091086,34.46286437044691,34.67844493019473,34.599748775014845
2008-10-01,34.97917207939358,35.35285928572023,34.46309548190244,34.678674989499754,34.59997892538729
2008-11-01,34.979512489807036,35.35260031852143,34.4633385043772,34.67885703157097,34.60018834972312
2008-12-01,34.97999254659341,35.3522650215383,34.46359955254726,34.679006492492796,34.60039935188525
2009-01-01,34.98056372952708,35.35188714589293,34.463819369726345,34.6791502764592,34.600652394329835
2009-02-01,34.98121119670906,35.351568006178674,34.46397858194502,34.67929265080303,34.60096006133278
2009-03-01,34.981773811955755,35.35122649649167,34.4640508427844,34.67941372817544,34.60127226668439
2009-04-01,34.98234611652627,35.35085016322784,34.464133701065165,34.679540653270365,34.60160795730633
2009-05-01,34.9827269906809,35.35059518025134,34.464301369452514,34.67966740877384,34.60209378829877
2009-06-01,34.98292667101227,35.35058731272456,34.464514012783965,34.679760276085105,34.602685865122616
2009-07-01,34.98317460625373,35.35058504073582,34.464780024472205,34.67981493380511,34.60326235810029
2009-08-01,34.98334842044786,35.350455445809516,34.465066703653505,34.6798008957074,34.60377196094074
2009-09-01,34.9835262590846,35.35022326883692,34.46532378620055,34.679751916778905,34.604185726493895
2009-10-01,34.983758803936055,35.349889800449105,34.4655687739756,34.679761148499914,34.604528056186005
2009-11-01,34.98409931727178,35.34951225108025,34.46582702660035,34.67983808959189,34.604692946730985
2009-12-01,34.98459463787064,35.34914693300523,34.46606719854123,34.679919439624555,34.60481934647887
2010-01-01,34.985084357178415,35.34882793473796,34.466241624534355,34.67992910098047,34.60491274056686
2010-02-01,34.98541563509193,35.3485323107379,34.466352057087164,34.679881213466004,34.604986108326734
2010-03-01,34.985706411947696,35.3482315330879,34.46636840025972,34.67985535240017,34.6051077291763
2010-04-01,34.985907943128645,35.34797286133138,34.46638942461057,34.679867243583985,34.605285071049366
2010-05-01,34.985947851568724,35.3477698456795,34.46648947961995,34.679887206329745,34.60546572074757
2010-06-01,34.98591153854657,35.34771858917543,34.46665196041358,34.67998287566366,34.60569817084336
2010-07-01,34.98594528607775,35.34767313483581,34.46686098693775,34.68015124719438,34.60594515523853
2010-08-01,34.9858156333607,35.347614332213055,34.46711094178103,34.680283725039864,34.60619764525921
2010-09-01,34.985734645307005,35.347455188756754,34.46736755122538,34.680466907032006,34.60642240648138
2010-10-01,34.98585727656675,35.34710505714356,34.46759844474863,34.68059843029092,34.60664087529513
2010-11-01,34.9861445329875,35.346732715248116,34.467845968753416,34.680744902856006,34.60680520269978
2010-12-01,34.98663703035863,35.346320673786536,34.46809049616989,34.68090321207216,34.606974085810656
